Wall time,Step,Value
1742238987.791025,0,1.4148153066635132
1742239400.167673,1,0.764019250869751
1742239822.256526,2,0.5439972877502441
1742240270.536017,3,0.39726337790489197
1742240855.759798,4,0.287677139043808
1742241603.5096462,5,0.27363380789756775
1742242590.951793,6,0.5093934535980225
1742243567.8350961,7,0.4293067455291748
1742244521.4824162,8,0.35466399788856506
1742245523.9327118,9,0.35209622979164124
1742246564.324091,10,0.3655916750431061
1742247521.235685,11,0.3307551145553589
1742248528.230178,12,0.3067528307437897
1742249531.605806,13,0.29552143812179565
1742250536.64929,14,0.29618728160858154
1742251539.117853,15,0.2988111078739166
